	Regulon	Size	NES	p.value	FDR	Ledge
TFCP2	TFCP2	70	-0.55	0.579	0.775	DHX30, C1orf192, PRG2, TNPO3, + 44 genes
ZNF264	ZNF264	33	-0.55	0.579	0.775	DNAH14, GDAP2, ZNF765, ZNF534, + 21 genes
MLL3	MLL3	144	-0.56	0.578	0.775	ASAP2, XPO1, NBPF1, FPGS, + 94 genes
KLF8	KLF8	101	-0.56	0.577	0.775	CHM, CCDC144A, BLOC1S1, PNMA1, + 74 genes
ZNF498	ZNF498	95	-0.56	0.577	0.775	NFYA, RECK, HSPA13, DPP8, + 56 genes
ZNF670	ZNF670	57	-0.56	0.576	0.775	LIN9, IFI27L2, GABPB1, SMC3, + 34 genes
DEPDC5	DEPDC5	130	-0.56	0.574	0.773	DPP8, AQR, EID1, YEATS2, + 81 genes
BDP1	BDP1	83	-0.56	0.573	0.773	DHX33, DAAM1, HEATR5A, NR2C2, + 54 genes
GRLF1	GRLF1	69	-0.56	0.573	0.773	ZFAT, CTDSP2, TYRP1, C16orf45, + 38 genes
NFAT5	NFAT5	51	-0.56	0.573	0.773	CLIC4, TPBG, TAS2R14, TTC30B, + 21 genes
SMAD4	SMAD4	43	-0.56	0.573	0.773	TAF1D, ATP9A, NELL1, ATL1, + 15 genes
ATF2	ATF2	113	-0.58	0.565	0.77	GAPDHS, PHF14, HIPK3, ZNF704, + 80 genes
ZNF155	ZNF155	175	-0.58	0.565	0.77	C9orf103, PIGS, JMJD6, SF4, + 98 genes
ZNF554	ZNF554	28	-0.58	0.565	0.77	ZNF555, ARHGAP39, RANBP17, GLT25D2, + 13 genes
ZNF835	ZNF835	113	-0.58	0.564	0.77	NPIPL3, WASH3P, ZXDA, C11orf61, + 61 genes
GON4L	GON4L	68	-0.58	0.562	0.77	INCENP, C6orf108, HIAT1, SAMD4B, + 38 genes
BRPF1	BRPF1	43	-0.58	0.559	0.769	WDR48, SFMBT1, NR2C2, NISCH, + 20 genes
RNF113A	RNF113A	222	-0.59	0.556	0.768	TMEM48, SMARCD1, TRIM68, PGRMC1, + 148 genes
ZNF420	ZNF420	193	-0.59	0.553	0.765	ZFR, GOSR2, ZNF225, MARCH8, + 133 genes
ZNF493	ZNF493	123	-0.59	0.552	0.764	PIK3C2A, EIF4A2, ZNF131, KLF8, + 59 genes
ZNF93	ZNF93	84	-0.6	0.551	0.764	ENOSF1, COL4A3BP, NOL3, PCP2, + 50 genes
TBX6	TBX6	80	-0.6	0.549	0.764	HSPB9, ZNF692, LOC100128292, NMRAL1, + 58 genes
CSDE1	CSDE1	75	-0.6	0.548	0.764	SRP54, SNX7, ZNF468, ZFR, + 43 genes
ADNP2	ADNP2	80	-0.6	0.547	0.763	GPR156, YLPM1, C9orf102, DPP8, + 54 genes
ZNF354A	ZNF354A	171	-0.61	0.545	0.763	SLC25A29, TBC1D10A, ARHGAP19, EFNA3, + 83 genes
RC3H1	RC3H1	38	-0.61	0.543	0.763	PELI1, DDX41, C20orf196, RB1CC1, + 21 genes
ZNF394	ZNF394	30	-0.61	0.543	0.763	RSL24D1, ALKBH4, BUD31, PDAP1, + 14 genes
GMEB1	GMEB1	43	-0.61	0.542	0.763	ABCA10, PTPRG, TCEB3, PEBP1, + 22 genes
ZNF281	ZNF281	209	-0.61	0.539	0.76	MDP1, CDC73, HEATR5A, DNAJC4, + 150 genes
ZNF354C	ZNF354C	260	-0.62	0.536	0.758	C6orf203, SFMBT2, KDM3B, FAM63B, + 188 genes
C14orf43	C14orf43	95	-0.62	0.534	0.756	C1orf170, PNMA1, AKT1S1, C19orf61, + 54 genes
ZNF142	ZNF142	56	-0.62	0.534	0.756	SAT2, SMG7, XDH, VDAC1, + 27 genes
CHD7	CHD7	47	-0.62	0.533	0.756	C11orf48, CNTLN, ZNF498, S1PR2, + 24 genes
ZNF654	ZNF654	106	-0.63	0.53	0.754	TCEAL1, KIRREL, SNX4, GSK3B, + 66 genes
ZNF836	ZNF836	120	-0.63	0.529	0.753	KIAA0355, TPI1P2, CPT1B, NDST1, + 88 genes
WHSC1	WHSC1	78	-0.64	0.524	0.749	PMS1, CUX2, RGN, DNAJC16, + 55 genes
ZNF48	ZNF48	103	-0.64	0.52	0.745	GSDMB, C8orf33, BRP44L, MGC57346, + 65 genes
ADAR	ADAR	120	-0.65	0.518	0.744	HSD17B3, ZNF93, AARS, FAM127C, + 67 genes
ZBTB46	ZBTB46	69	-0.65	0.513	0.742	DENND4C, CYS1, ZCCHC3, PCNX, + 30 genes
ZNF300	ZNF300	84	-0.65	0.513	0.742	GALNT1, SFRS11, ZNF274, C15orf38, + 48 genes
GATAD1	GATAD1	105	-0.66	0.511	0.742	DPF2, ATG9A, NSUN5P1, PDXDC2, + 52 genes
EP400	EP400	172	-0.66	0.509	0.74	PDPR, LMTK2, TRIM71, FILIP1, + 108 genes
MYST4	MYST4	180	-0.66	0.509	0.74	SCUBE3, PGBD3, LMTK2, MIOS, + 119 genes
RBM6	RBM6	147	-0.67	0.506	0.739	CCDC73, TRAFD1, THUMPD2, PHKG2, + 93 genes
ZNF280B	ZNF280B	81	-0.67	0.502	0.738	JOSD1, MTMR3, SAT2, NUDT22, + 44 genes
ZNF273	ZNF273	82	-0.67	0.5	0.736	NICN1, TSPAN17, ANLN, CAPN1, + 50 genes
ZNF7	ZNF7	27	-0.68	0.499	0.735	PHF20L1, ZNF250, NPHP4, ZFP28, + 10 genes
ZNF34	ZNF34	50	-0.68	0.496	0.731	PPP1R16A, FBXL6, HSF1, HRSP12, + 22 genes
ZNF514	ZNF514	83	-0.69	0.491	0.726	SPTBN1, PNPLA3, SON, DERL2, + 56 genes
ZNF718	ZNF718	31	-0.69	0.49	0.725	SRP14, NPIPL3, ATXN7L3B, LOC728024, + 20 genes
SMARCA5	SMARCA5	139	-0.7	0.486	0.721	KIAA0947, UPF2, A1BG, TOM1L2, + 86 genes
ZNF776	ZNF776	127	-0.7	0.485	0.721	CDC42BPA, GFM1, HIAT1, ZNF420, + 89 genes
ZNF793	ZNF793	64	-0.71	0.479	0.713	CHMP4B, TBC1D10A, CAPN1, PCDHGB3, + 39 genes
FOXN2	FOXN2	69	-0.71	0.478	0.713	LYSMD3, ZBTB41, SULT1A1, MSH2, + 40 genes
VEZF1	VEZF1	44	-0.71	0.478	0.713	CEP350, PAR5, TAOK1, NCOA2, + 26 genes
ALX3	ALX3	171	-0.71	0.477	0.713	JUND, TNPO3, LMTK2, ZNF420, + 120 genes
ZC3H15	ZC3H15	80	-0.71	0.476	0.713	NIF3L1, CKAP2, FCGRT, OCLM, + 40 genes
ATMIN	ATMIN	38	-0.71	0.475	0.713	DHX38, CIAPIN1, THAP11, SVOP, + 18 genes
GABPA	GABPA	77	-0.72	0.473	0.711	CHMP4B, IMPA1, LIN9, TOM1, + 54 genes
REST	REST	295	-0.72	0.472	0.71	SRP72, RQCD1, RFXANK, JUND, + 211 genes
ZNF124	ZNF124	102	-0.72	0.471	0.71	YPEL3, C11orf35, CRYGS, URB2, + 73 genes
DDIT3	DDIT3	189	-0.73	0.466	0.703	C4orf41, FKBP11, ZNF570, TRPT1, + 144 genes
LCOR	LCOR	151	-0.73	0.466	0.703	GPR156, C20orf196, C1orf151, APOOL, + 105 genes
ZNF483	ZNF483	115	-0.74	0.462	0.699	BRIP1, JOSD1, DEPDC5, ZNF99, + 86 genes
PSMD12	PSMD12	61	-0.74	0.459	0.696	TIMM50, CYCS, HNRNPA2B1, SKA3, + 34 genes
ZNF613	ZNF613	28	-0.75	0.455	0.692	ERF, PTCH1, HYDIN, ZNF197, + 17 genes
TRIM32	TRIM32	71	-0.75	0.453	0.69	COBRA1, SMARCA2, ZNF510, RAB14, + 48 genes
ZNF562	ZNF562	68	-0.75	0.452	0.689	NDUFC1, GSTM2, GAPDHS, KIF27, + 47 genes
ZFP106	ZFP106	108	-0.75	0.451	0.688	C11orf48, DPP8, AQR, EMD, + 84 genes
ZFP28	ZFP28	103	-0.75	0.451	0.688	ZDHHC17, ZNF44, GBA, PHF20L1, + 53 genes
GLIS3	GLIS3	46	-0.76	0.449	0.688	MYO9A, NFX1, CAB39, C14orf43, + 25 genes
ZNF710	ZNF710	215	-0.76	0.446	0.686	RQCD1, JUND, SAMHD1, TNPO3, + 145 genes
ZNF571	ZNF571	104	-0.76	0.445	0.686	FCGR2C, S100A9, ATP6V0D1, VSIG4, + 64 genes
ZNF619	ZNF619	67	-0.77	0.442	0.682	IMP3, APPL2, STAG1, CEPT1, + 26 genes
ERF	ERF	69	-0.77	0.441	0.681	LSR, OXER1, ZNF613, PKMYT1, + 39 genes
TERF1	TERF1	89	-0.77	0.44	0.68	ZC3H15, ADRBK1, CBX1, APOBEC3F, + 62 genes
ZNF45	ZNF45	46	-0.77	0.44	0.68	EP400, ZNF773, ZNF611, CHRFAM7A, + 23 genes
THAP7	THAP7	163	-0.77	0.439	0.68	SNX18, ITGA2, ULBP3, LMF2, + 111 genes
CASP8AP2	CASP8AP2	67	-0.78	0.438	0.68	ZMYM4, MDN1, PPP1R7, TTK, + 38 genes
PKNOX1	PKNOX1	39	-0.78	0.438	0.68	C12orf26, PTGES3, C8orf76, NIF3L1, + 23 genes
ZBTB37	ZBTB37	134	-0.78	0.438	0.68	RQCD1, SRCAP, JUND, C10orf118, + 101 genes
ARID2	ARID2	37	-0.78	0.434	0.678	TAX1BP3, ZNF518A, ZDHHC17, SIX4, + 22 genes
BOLA1	BOLA1	160	-0.78	0.434	0.678	SF4, ZNF689, SCARNA2, SLC7A6OS, + 117 genes
ZNF761	ZNF761	35	-0.79	0.43	0.675	CHMP4B, ZNF507, INTS8, PHIP, + 26 genes
ZNF426	ZNF426	270	-0.79	0.429	0.675	FICD, C8orf37, YLPM1, DHX8, + 212 genes
ZNF32	ZNF32	167	-0.8	0.424	0.669	RBM34, MICALCL, CELF1, PSENEN, + 119 genes
BCLAF1	BCLAF1	156	-0.8	0.422	0.667	MAP1LC3A, C22orf32, RNF38, PVALB, + 106 genes
ZNF773	ZNF773	86	-0.8	0.421	0.667	UBA2, ZNF420, FILIP1, AIFM3, + 59 genes
TFAM	TFAM	103	-0.81	0.419	0.665	CCAR1, PNKD, GTPBP4, GTF2H3, + 60 genes
UBR4	UBR4	84	-0.81	0.416	0.662	PDXDC1, PTER, ARHGEF11, UBE4B, + 50 genes
ZNF808	ZNF808	44	-0.82	0.412	0.658	ZNF470, FCRL6, ZNF761, CCDC117, + 23 genes
USF2	USF2	378	-0.82	0.411	0.658	CDK2AP2, UBE3C, COMTD1, SESTD1, + 254 genes
ZNF782	ZNF782	54	-0.83	0.407	0.654	C14orf43, GCHFR, FKTN, CCL4L2, + 29 genes
ZNF266	ZNF266	54	-0.84	0.403	0.65	RHBDL1, ZNF700, FAM113B, TBC1D10A, + 40 genes
ZNF706	ZNF706	203	-0.84	0.401	0.647	MRPL55, DGCR14, PDZD11, MLNR, + 124 genes
RC3H2	RC3H2	124	-0.84	0.399	0.645	LMTK2, ZNF420, JOSD1, FILIP1, + 84 genes
ZBTB41	ZBTB41	74	-0.84	0.399	0.645	GMFB, SMC5, DRAM2, ZNF264, + 43 genes
NR1I3	NR1I3	74	-0.85	0.395	0.641	MAP2K5, ITFG1, UBE3C, ATP5D, + 50 genes
ZNF345	ZNF345	51	-0.85	0.394	0.641	CLEC5A, ZNF776, FAM133B, PKM2, + 29 genes
HIF1A	HIF1A	88	-0.85	0.393	0.64	CDC73, TNIP2, DLST, YLPM1, + 58 genes
ZNF585A	ZNF585A	102	-0.86	0.391	0.64	PCDHGB3, A1BG, C1orf192, TGFBRAP1, + 82 genes
ZNF496	ZNF496	253	-0.86	0.389	0.638	NCRNA00182, C21orf88, IMPA2, GPR156, + 206 genes
ZNF551	ZNF551	361	-0.86	0.388	0.637	HEATR5A, SP4, PCDH1, FAM183B, + 291 genes
MSC	MSC	41	-0.87	0.386	0.635	C19orf50, CSMD2, USP31, ZKSCAN2, + 24 genes
ZBTB39	ZBTB39	222	-0.87	0.386	0.635	SAT2, SMG7, ARHGEF35, MYO9A, + 161 genes
BACH1	BACH1	76	-0.87	0.385	0.635	G2E3, LRRN4CL, WFDC2, NIPAL1, + 58 genes
ZFX	ZFX	176	-0.88	0.381	0.629	SRCAP, RFXANK, JUND, ASAP1, + 137 genes
ZNF699	ZNF699	205	-0.88	0.378	0.625	REL, C18orf32, IL6ST, PPIL3, + 165 genes
NFKB2	NFKB2	145	-0.89	0.375	0.622	ZBTB8OS, ZNF766, ZC3H14, S100PBP, + 104 genes
MRRF	MRRF	164	-0.89	0.374	0.621	CHTF8, SLC25A24, CENPC1, LOC100216545, + 111 genes
SOX15	SOX15	131	-0.89	0.374	0.621	PPP1R15A, MED9, ACOT13, NOTCH2, + 81 genes
BPNT1	BPNT1	25	-0.89	0.372	0.62	WASH7P, AAMP, PSMA5, MAD2L1, + 15 genes
ZC3H3	ZC3H3	41	-0.89	0.371	0.62	SHARPIN, C8orf30A, FBXL6, VPS28, + 26 genes
TRMT1	TRMT1	257	-0.9	0.369	0.618	RPP21, SCARNA2, ZNF593, C10orf26, + 199 genes
ZNF501	ZNF501	59	-0.9	0.368	0.618	STAG1, CXorf26, CCDC52, APOC1, + 28 genes
ZNF131	ZNF131	54	-0.9	0.367	0.618	GABPA, CCDC99, CENPK, VAC14, + 32 genes
ZNF611	ZNF611	68	-0.91	0.361	0.609	SPDYE5, ZNF610, MRPS18C, ZNF264, + 44 genes
ZNF829	ZNF829	332	-0.92	0.358	0.606	JUND, PCDHGC4, TMEM88, WDR3, + 268 genes
ZGPAT	ZGPAT	67	-0.93	0.354	0.602	USF1, PRR13, SCAND1, TCF12, + 44 genes
ZC3H7B	ZC3H7B	120	-0.93	0.352	0.601	IL6R, PRR11, PTS, FAM157B, + 84 genes
KLF11	KLF11	177	-0.93	0.351	0.601	NAPA, FOXD4L1, MGAT3, LOC100129550, + 118 genes
ZNF26	ZNF26	122	-0.93	0.351	0.601	NSUN6, ATP13A1, RSRC2, TAF1C, + 73 genes
FOXN1	FOXN1	79	-0.94	0.348	0.6	TCP1, TMEM55B, SLC35E4, KLRG2, + 48 genes
ZNF205	ZNF205	56	-0.95	0.343	0.592	RPL24, GPR157, DHX34, PMM2, + 35 genes
ZNF526	ZNF526	45	-0.95	0.343	0.592	HOPX, MMS19, C17orf55, DPH3B, + 26 genes
LHX6	LHX6	53	-0.95	0.34	0.59	NCRNA00173, VNN3, STRBP, MYO9B, + 34 genes
ZNF268	ZNF268	30	-0.95	0.34	0.59	EP400, FASTKD5, PGAM5, FAM196B, + 15 genes
SOX30	SOX30	37	-0.96	0.339	0.59	TPRXL, FAM196B, FUT8, BBS10, + 14 genes
ZNF839	ZNF839	82	-0.96	0.339	0.59	NT5M, MAP6D1, C14orf101, CABP1, + 53 genes
U2AF1	U2AF1	208	-0.96	0.337	0.59	TIMM50, CYCS, LSM5, C19orf50, + 141 genes
ZNF507	ZNF507	69	-0.97	0.333	0.586	ARID2, GCHFR, SMC4, ZNF611, + 41 genes
ZNF566	ZNF566	30	-0.97	0.332	0.586	C1orf103, ST6GALNAC4, ZNF606, MGAT4B, + 14 genes
ZNF587	ZNF587	167	-0.97	0.33	0.584	GON4L, PEG3, LRSAM1, EIF4G2, + 123 genes
ZNF33A	ZNF33A	93	-0.98	0.329	0.583	LUZP1, ERCC6, NUP153, UHRF1BP1, + 62 genes
GCM1	GCM1	26	-0.98	0.328	0.583	LOC642587, PSMD7, CACNA1A, SLC24A5, + 18 genes
ZNF334	ZNF334	56	-0.98	0.328	0.583	THBD, CCDC18, SEPT7P2, YJEFN3, + 31 genes
TUB	TUB	52	-0.99	0.323	0.577	STK3, POLA1, NCRNA00152, BRPF3, + 37 genes
ZNF217	ZNF217	172	-0.99	0.321	0.574	SAMD4B, TRIM71, AIFM3, SORBS1, + 147 genes
TFAP2B	TFAP2B	37	-1	0.319	0.572	RBPJL, TMPRSS4, CACNA1D, ATP2C2, + 20 genes
NUFIP1	NUFIP1	105	-1	0.318	0.571	POLA1, CKAP2, PPP5C, PLCH2, + 81 genes
ZNF555	ZNF555	56	-1	0.317	0.571	HYDIN, POSTN, C21orf88, RNASE2, + 43 genes
KIAA1683	KIAA1683	69	-1	0.316	0.571	POU6F1, ZNF554, ARHGAP39, GLT25D2, + 40 genes
ZNF502	ZNF502	37	-1	0.316	0.571	ZNF470, ZNF197, C20orf12, ZNF14, + 28 genes
ZNF606	ZNF606	98	-1	0.316	0.571	GPR125, DDX25, ANXA2P2, DAP, + 64 genes
ZNF578	ZNF578	140	-1.02	0.31	0.566	NUDT22, LYL1, ZNF610, VDAC1, + 106 genes
ZNF17	ZNF17	34	-1.02	0.308	0.564	TALDO1, ZNF470, ARPC4, ZNF713, + 24 genes
ZNF292	ZNF292	57	-1.02	0.307	0.562	HOPX, CASP8AP2, SNX11, PIK3C2A, + 36 genes
ZNF594	ZNF594	56	-1.03	0.303	0.558	GSG2, RAI1, IER3IP1, CLSPN, + 36 genes
NFE2	NFE2	68	-1.03	0.302	0.556	PCGF5, BMP4, PIK3AP1, NCF1B, + 37 genes
ETV1	ETV1	40	-1.03	0.301	0.556	TAF7L, XPO1, DERL2, CLEC3B, + 35 genes
RREB1	RREB1	193	-1.03	0.301	0.556	RFXANK, KIAA0513, BRCA2, LMTK2, + 152 genes
ZNF227	ZNF227	105	-1.04	0.298	0.555	ARHGEF35, SENP1, PHOSPHO2, STAU2, + 82 genes
GATAD2B	GATAD2B	25	-1.04	0.297	0.554	FKBP3, GPR89B, ARNT, APPL1, + 14 genes
ZNF709	ZNF709	94	-1.04	0.297	0.554	SPATA20, ZNF677, HMOX1, INF2, + 69 genes
ZNF37A	ZNF37A	30	-1.05	0.293	0.548	KCND3, FIS1, EGLN2, C9orf7, + 18 genes
ZNF484	ZNF484	63	-1.05	0.293	0.548	RBM12B, BRCA2, RGPD4, CFD, + 44 genes
ELK4	ELK4	31	-1.05	0.292	0.548	PHACTR4, USP24, MED13L, DCXR, + 11 genes
SKIL	SKIL	121	-1.06	0.287	0.54	SORBS1, RBMX2, MYO9A, ADNP, + 101 genes
NFXL1	NFXL1	135	-1.07	0.286	0.539	CCAR1, ZBTB8A, C6orf108, RBM12B, + 108 genes
ZNF460	ZNF460	134	-1.07	0.285	0.539	C8orf39, KIAA0664P3, RBMX2, APPL1, + 110 genes
THRA	THRA	143	-1.08	0.282	0.535	PCDHA6, PPL, NTNG2, CABP1, + 93 genes
ZNF98	ZNF98	235	-1.08	0.282	0.535	BRIP1, SAMD4B, TRIM71, ZNF99, + 201 genes
SALL4	SALL4	262	-1.09	0.277	0.528	C17orf100, PPP4R1L, TXLNG, ZNF354C, + 195 genes
CHD1	CHD1	40	-1.09	0.276	0.526	USP48, CLDN1, BAD, PRRC1, + 27 genes
ZKSCAN3	ZKSCAN3	80	-1.09	0.275	0.526	NELL1, BRPF3, PDPN, AGBL5, + 53 genes
ZNF174	ZNF174	184	-1.09	0.274	0.526	MYADM, AMY2B, PPP5C, C1QTNF3, + 124 genes
ZNF462	ZNF462	37	-1.09	0.274	0.526	SENP1, GMPPA, SMPD2, SMC5, + 25 genes
DVL1	DVL1	85	-1.1	0.273	0.526	BAT1, PKD1, NPIP, DHX34, + 53 genes
CIC	CIC	53	-1.11	0.267	0.517	AKAP5, BAHD1, KIAA1409, KIAA1683, + 35 genes
ZFP30	ZFP30	137	-1.11	0.266	0.516	ZNF672, NBPF9, TMSL3, TRPM7, + 101 genes
ZNF419	ZNF419	39	-1.12	0.263	0.511	ZNF773, PLXND1, ZNF350, IGSF9, + 22 genes
ZNF687	ZNF687	102	-1.12	0.262	0.51	ZNF420, SAMD4B, RPPH1, SMAGP, + 80 genes
ZNF675	ZNF675	76	-1.13	0.26	0.509	CTRL, PRR11, BPTF, C6orf26, + 58 genes
SMARCC1	SMARCC1	220	-1.13	0.259	0.508	LOC283070, SLC39A14, SETD5, LOC100130872, + 152 genes
ZNF431	ZNF431	104	-1.13	0.258	0.507	COX7A1, C10orf125, LIPC, RAD54B, + 71 genes
NR1H2	NR1H2	91	-1.13	0.257	0.507	H1FX, ALKBH6, GPR108, LYPLAL1, + 76 genes
SREBF1	SREBF1	90	-1.14	0.256	0.507	REV1, WDYHV1, ATG5, DUSP19, + 46 genes
ZNF697	ZNF697	65	-1.14	0.255	0.506	TAS2R14, HEATR1, C6orf48, PPP2R2A, + 37 genes
ZZZ3	ZZZ3	92	-1.14	0.254	0.505	SLC5A8, LENG1, PARP11, LOC90834, + 65 genes
ZNF416	ZNF416	56	-1.15	0.251	0.503	ZNF264, ALKBH7, MYADM, ZNF816A, + 36 genes
MYT1	MYT1	60	-1.16	0.248	0.499	PDE4B, MAPRE2, SEL1L3, PTPRU, + 43 genes
ZDHHC11	ZDHHC11	25	-1.18	0.237	0.484	C22orf43, ZFP28, NCRNA00174, CCDC14, + 17 genes
NR2C1	NR2C1	211	-1.19	0.236	0.483	CNKSR1, C16orf74, LOC91316, NUTF2, + 150 genes
ANAPC2	ANAPC2	25	-1.19	0.233	0.478	COBRA1, PTRH1, DOLK, GTF3C5, + 19 genes
ZNF167	ZNF167	25	-1.19	0.233	0.478	NCALD, TBC1D15, PSMA8, PPARGC1A, + 15 genes
ZNF263	ZNF263	71	-1.2	0.231	0.476	NIPA2, ZNF174, TMC7, NOP56, + 48 genes
ZNF649	ZNF649	59	-1.2	0.23	0.476	IAH1, HTR1B, ZNF844, ZNF677, + 46 genes
ZNF669	ZNF669	139	-1.21	0.228	0.474	STT3B, GPR176, IL1F7, GNAL, + 107 genes
ZXDC	ZXDC	62	-1.21	0.227	0.473	NUP50, SENP5, BAHD1, HS6ST2, + 36 genes
ZNF304	ZNF304	114	-1.21	0.226	0.472	PDLIM4, SDHB, ZNF776, ZNF418, + 83 genes
BOLA3	BOLA3	81	-1.21	0.225	0.471	PSMA3, PTTG1, PCDH11X, PHB, + 60 genes
CTCFL	CTCFL	35	-1.22	0.224	0.469	TXNRD3IT1, SRP54, ZFAT, DYNC1LI1, + 27 genes
ZFP64	ZFP64	218	-1.22	0.223	0.468	TMEM175, TBC1D3B, RARS, BCL2L15, + 151 genes
EEA1	EEA1	42	-1.23	0.22	0.463	SMC1A, TCP11L2, C12orf51, KIF5B, + 32 genes
MRPL28	MRPL28	117	-1.23	0.219	0.462	SCAND1, CDC20, NOSIP, SARNP, + 86 genes
POGZ	POGZ	63	-1.23	0.219	0.462	ZMYM4, TPBG, ZNF808, ESD, + 42 genes
ZNF780B	ZNF780B	37	-1.24	0.214	0.454	KIAA0664P3, DHX16, XDH, KIAA0495, + 26 genes
LARP1	LARP1	83	-1.25	0.212	0.451	FAM184A, UBE2O, CHD1, EXOC6B, + 56 genes
ZBTB26	ZBTB26	139	-1.26	0.209	0.446	PSMC3IP, LOC402377, C17orf95, ZNF354C, + 95 genes
ZNF20	ZNF20	72	-1.26	0.206	0.442	ZNF419, NCOA4, CCDC123, DHRS9, + 53 genes
RHOXF1	RHOXF1	46	-1.27	0.204	0.44	CDC20, IL17RA, SNRPF, TOMM40, + 32 genes
ZNF529	ZNF529	100	-1.28	0.202	0.437	ACTN2, CEBPG, EHBP1L1, ZNF566, + 65 genes
ZNF777	ZNF777	27	-1.28	0.201	0.437	GPR83, KCNA7, MAP2K1, ZNF710, + 15 genes
NCOR2	NCOR2	93	-1.28	0.2	0.435	ATP5SL, SPINK1, GRIN3A, TBC1D22A, + 48 genes
ZNF444	ZNF444	172	-1.28	0.199	0.434	BOD1, MARCKSL1, CHCHD8, C19orf53, + 131 genes
ZNF805	ZNF805	26	-1.29	0.196	0.429	ZNF302, ZNF808, ARRB1, HINT1, + 18 genes
ZNF283	ZNF283	62	-1.3	0.193	0.426	CLIC4, CLSPN, STXBP5L, ZNF45, + 49 genes
CTCF	CTCF	60	-1.31	0.191	0.424	CD1B, MAPK6, ZNF710, ATMIN, + 38 genes
MYST3	MYST3	174	-1.31	0.191	0.424	PUM1, NAA11, ZNF354C, TNKS, + 134 genes
ZNF787	ZNF787	169	-1.31	0.191	0.424	NACA2, TMEM184C, SETX, MYLK2, + 145 genes
CREB1	CREB1	40	-1.31	0.19	0.424	USP37, USP34, TRAPPC10, PCNX, + 29 genes
AHCTF1	AHCTF1	58	-1.32	0.188	0.424	HEATR1, WDR26, C1orf103, GRK6, + 36 genes
FOXR2	FOXR2	65	-1.32	0.188	0.424	MAGEA12, C16orf88, PGAM5, DDX18, + 39 genes
PRDM4	PRDM4	44	-1.33	0.183	0.417	EP400, GPR176, ZCCHC3, ZNF268, + 34 genes
CEBPG	CEBPG	48	-1.34	0.181	0.415	PPAP2B, CDO1, FBXO46, MTMR15, + 34 genes
ZNF550	ZNF550	124	-1.34	0.179	0.414	NINJ2, C1QTNF1, CHRFAM7A, GNAI2, + 94 genes
ZNF677	ZNF677	140	-1.34	0.179	0.414	ZNF329, PWP2, TRIP13, C12orf66, + 109 genes
TEAD4	TEAD4	90	-1.35	0.176	0.412	MAPK1IP1L, TPX2, DSCR4, CLCF1, + 72 genes
ZFYVE20	ZFYVE20	129	-1.36	0.174	0.409	IER5L, SLC18A2, PLEKHO1, PSMD2, + 87 genes
ZC3H10	ZC3H10	47	-1.37	0.172	0.407	HHLA2, UNC45A, C12orf26, PTGES3, + 37 genes
ZBTB10	ZBTB10	360	-1.37	0.171	0.405	SNORD1C, ADNP2, TXLNG, ZNF354C, + 303 genes
ZNF622	ZNF622	368	-1.37	0.171	0.405	FADD, C17orf67, C3orf10, CIZ1, + 286 genes
ZNF784	ZNF784	96	-1.37	0.17	0.405	EIF6, GCDH, KAT2B, BAX, + 71 genes
PRR3	PRR3	315	-1.38	0.169	0.404	C22orf28, NSUN6, TXN, ATPIF1, + 243 genes
SF3A2	SF3A2	210	-1.38	0.167	0.401	LYPLAL1, PPIP5K1, RSL24D1, MYCBP2, + 186 genes
ZNF542	ZNF542	64	-1.4	0.163	0.394	ZNF566, GOLPH3L, ZNF304, TULP3, + 47 genes
ZNF625	ZNF625	195	-1.4	0.163	0.394	PDP2, GSG2, NUP153, GLUD2, + 162 genes
PSMD11	PSMD11	220	-1.4	0.162	0.393	SNORD1C, ABCA1, PDZD8, SMURF2, + 144 genes
ZXDB	ZXDB	42	-1.4	0.162	0.393	CCDC142, ZNF835, SLC22A1, TMSB10, + 29 genes
NRF1	NRF1	48	-1.4	0.161	0.392	MINK1, MAPKAPK3, LRG1, CTSA, + 34 genes
ZFP112	ZFP112	266	-1.4	0.161	0.392	MCM6, ANKK1, CHRNE, LOC100130872, + 224 genes
ARID5B	ARID5B	65	-1.41	0.159	0.39	HSD11B1L, XRN1, GALNT4, YBX2, + 40 genes
MYNN	MYNN	46	-1.41	0.158	0.388	PHC3, H2AFB1, PIK3CA, SENP2, + 34 genes
RNF138	RNF138	42	-1.42	0.156	0.384	CKAP2, TK2, KIF20A, TTK, + 28 genes
TIGD5	TIGD5	28	-1.42	0.156	0.384	VPS29, TWIST1, CDC14A, JMJD4, + 17 genes
C10orf140	C10orf140	27	-1.42	0.155	0.384	CELSR2, BEND7, ZNF578, XPOT, + 20 genes
ZNF136	ZNF136	33	-1.42	0.155	0.384	BLZF1, TDRD1, HSF4, TADA1, + 20 genes
HMGA1	HMGA1	207	-1.43	0.154	0.383	SMPD3, BCL2L15, RPL17, SFTA2, + 160 genes
ZNF791	ZNF791	196	-1.43	0.152	0.381	LOC93622, CAMK2B, PDZD8, TAS2R14, + 150 genes
ZNF324	ZNF324	54	-1.44	0.151	0.381	ZNF329, OTUD6B, CCDC142, ZNF835, + 39 genes
ZNF559	ZNF559	93	-1.44	0.151	0.381	SNAPC5, LOC642846, SLC19A2, GRHL2, + 65 genes
ZNF747	ZNF747	124	-1.44	0.15	0.381	GLB1L, NR4A3, NCRNA00171, WNK4, + 66 genes
